X Targetposition, Y Targetposition,Z Targetposition,X Targetrotation,Y Targetrotation,Z Targetrotation,X Rotation,Y Rotation,Z Rotation,X position,Y position,Z position,FramesFromStart,TimeFromStart,VIMS Scale,VIMS Count,ISwait
43.82814,-5.944544,19.71596,-0.2050509,-0.1705609,-0.03601797,-0.05298347,-0.9786454,0.1743515,41.85809,-2.057452,24.96102,819,20.13,0,0,False
44.69553,-5.941918,16.86518,-0.2009773,-0.2507168,-0.05351264,-0.07509643,-0.9643221,0.1749718,41.87619,-2.059148,21.70685,834,20.46,0,0,False
44.72137,-5.838584,13.74223,-0.1925637,-0.2566247,-0.05298891,-0.07621677,-0.9565489,0.1734367,41.85678,-2.059146,18.60728,848,20.79,0,0,False
44.1174,-5.603431,10.00789,-0.1768453,-0.2066741,-0.03897473,-0.07113159,-0.9561825,0.1692581,41.81519,-2.057915,15.27355,863,21.12,0,0,False
42.96711,-5.221238,6.193572,-0.1501151,-0.1150589,-0.01826807,-0.0636441,-0.9638535,0.1627801,41.75783,-2.055144,11.9777,878,21.45,0,0,False
41.37076,-4.681399,2.506811,-0.1097326,0.004747016,0.0002933601,-0.0464904,-0.9800175,0.158451,41.68339,-2.05258,8.611474,893,21.78,0,0,False
39.67533,-4.056469,-0.6993022,-0.0618297,0.1289354,0.008501551,-0.02438621,-0.9909861,0.1317222,41.60191,-2.04629,5.298365,908,22.11,0,0,False
38.18484,-3.410939,-3.541086,-0.01333704,0.2413022,0.00423797,-0.0002358716,-0.9905685,0.08513647,41.52018,-2.038438,1.963559,923,22.44,0,0,False
37.13766,-2.804293,-6.199746,0.03007943,0.3262701,-0.009290768,0.02530232,-0.978452,0.04840996,41.44408,-2.033092,-1.335084,938,22.77,0,0,False
43.09424,-2.257064,-7.621274,0.07233156,0.09601834,-0.006338939,0.02857122,-0.9988642,0.02061946,44.71896,-2.028738,-1.343438,952,23.1,0,0,False
48.70156,-1.658302,-7.745156,0.1177002,-0.0764704,0.00924788,0.03091904,-0.9798569,-0.007325708,48.11004,-2.024436,-1.384515,967,23.43,0,0,False
53.78946,-1.096871,-7.221663,0.1572105,-0.2205209,0.03645242,0.03293817,-0.9426273,-0.04794392,51.44197,-2.018894,-1.473682,982,23.76,0,0,False
57.71598,-0.6006274,-0.4084823,0.1603558,-0.5870326,0.1203332,0.06051484,-0.7652387,-0.06442545,52.10654,-2.01506,1.626689,997,24.09,0,0,False
57.7422,-0.2064748,6.652196,0.1307901,-0.8039756,0.1919491,0.06713357,-0.5366855,-0.06301612,52.31471,-2.014231,4.876259,1011,24.42,0,0,False
56.12178,0.09833479,12.32783,-0.08326905,0.9147745,-0.2435723,0.07617534,-0.3432125,-0.05144552,52.57685,-2.01502,8.166306,1025,24.75,0,0,False
54.16699,0.2804315,16.64974,-0.02881186,0.9568463,-0.2711797,0.08698969,-0.1707013,-0.02682158,52.89402,-2.0154,11.51246,1037,25.08,0,0,False
52.54041,0.3322518,20.08679,0.02098339,0.9580756,-0.2763041,0.09233429,-0.03512596,0.004216901,53.25142,-2.015112,14.91404,1050,25.41,0,0,False
54.47551,0.280967,21.87197,0.01525448,0.9605739,-0.2723241,0.08906563,-0.06370538,0.01081878,55.06034,-2.015722,16.66528,1062,25.74,0,0,False
59.47933,0.1380692,22.05774,-0.0219694,0.9619656,-0.2598034,0.04617806,-0.188329,-0.005806939,58.6361,-2.021307,16.8103,1075,26.07,0,0,False
63.75589,-0.06348252,21.9941,-0.04450659,0.9534118,-0.2399057,0.005333252,-0.2794344,-0.006408555,61.86561,-2.026926,16.91516,1087,26.4,0,0,False
68.67705,-0.3186603,21.38697,-0.07203883,0.9217132,-0.2112017,0.004393766,-0.3489051,-0.01415594,65.25617,-2.02688,17.02091,1100,26.73,0,0,False
72.75981,-0.6316817,20.76825,-0.09026562,0.8711612,-0.1762394,-0.0001473061,-0.3664718,-0.00535585,68.0267,-2.027587,17.57212,1114,27.06,0,0,False
72.54565,-1.063926,24.84513,-0.06733251,0.8996578,-0.1494859,-0.01390585,-0.2094865,0.004867354,67.89043,-2.0295,21.10795,1128,27.39,0,0,False
73.03485,-1.498297,27.86226,-0.058676,0.8875977,-0.1163726,-0.03294924,-0.2168396,-0.003571376,67.84774,-2.031093,24.41896,1141,27.72,0,0,False
73.46737,-1.894056,30.86644,-0.04863341,0.8731105,-0.08748487,-0.02388844,-0.2617395,0.004329724,67.86115,-2.030586,27.75301,1154,28.05,0,0,False
73.4924,-2.260001,34.20776,-0.03389808,0.8814707,-0.06395619,0.0004473873,-0.3465852,0.006758817,67.90394,-2.027766,30.88817,1167,28.38,0,0,False
73.05704,-2.632378,38.21404,-0.01834446,0.9118831,-0.04039229,0.006490162,-0.3510592,0.02238676,67.95507,-2.027618,34.16072,1181,28.71,0,0,False
72.17597,-2.977995,42.51245,-0.005975475,0.9484456,-0.01745497,-0.02342045,-0.2981088,0.02638808,68.00951,-2.03143,37.55629,1195,29.04,0,0,False
71.0133,-3.259007,46.50639,0.0006292428,0.9771302,0.002514343,-0.09963377,-0.1896845,-0.01847243,68.05215,-2.042162,40.83239,1207,29.37,0,0,False
69.85216,-3.457594,50.06489,0.002264373,0.9930146,0.01731344,-0.1732896,-0.03457397,-0.04193795,68.08612,-2.055448,43.98829,1219,29.7,0,0,False
68.89284,-3.573414,53.76499,0.001175491,0.9989185,0.02611003,-0.2291403,0.06158086,-0.07102472,68.13272,-2.068655,47.5405,1232,30.02999,0,0,False
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.2239995,0.1419614,-0.06900231,68.18492,-2.068858,50.78849,1244,30.35999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.2102093,0.1146011,-0.06573079,68.18858,-2.065035,50.78833,1256,30.68999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.1531227,0.03161889,-0.04344087,68.20558,-2.049461,50.7866,1267,31.01999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.1007124,0.02434715,-0.03271456,68.21259,-2.040171,50.77792,1280,31.34999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.09922957,0.01348482,-0.01568561,68.22749,-2.040307,50.76847,1292,31.67999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.1189703,-0.01452756,0.008262996,68.23434,-2.044178,50.77586,1304,32.00999,0,0,True
68.6534,-3.576976,57.03167,0.0004040773,0.9995344,0.02639972,-0.135872,-0.02962002,0.01722758,68.23219,-2.048046,50.77635,1316,32.34,0,1,False
73.29251,-3.53228,57.72379,0.005761683,0.9665868,0.02232258,-0.1391836,-0.201804,0.04460213,69.91154,-2.050108,52.38194,1328,32.67,0,1,False
80.01631,-3.387847,53.2178,-0.007921924,-0.765714,-0.009326203,-0.1466266,-0.4225609,0.04670371,73.57481,-2.051942,52.51758,1341,33,0,1,False
83.05814,-3.178381,50.12826,0.002766811,-0.5873666,0.002052813,-0.1864813,-0.5664676,0.03348227,76.97399,-2.051709,52.61731,1355,33.33,0,1,False
86.06325,-2.918372,49.4776,0.01911615,-0.5344749,0.01264482,-0.1694799,-0.6474823,0.01456587,80.36616,-2.045896,52.70251,1370,33.66,0,1,False
89.45122,-2.624272,49.77995,0.03732371,-0.5449518,0.025095,-0.06852195,-0.7014349,0.06790017,83.71886,-2.037022,52.77497,1385,33.99001,0,1,False
92.92495,-2.286346,50.73759,0.05602457,-0.5974914,0.04262972,0.05099362,-0.6897829,0.07442869,86.93575,-2.019789,52.87129,1399,34.32001,0,1,False
96.40594,-1.880001,52.22888,0.07407482,-0.6753426,0.06889347,0.1004066,-0.7061336,0.06560695,90.24987,-2.008599,52.98977,1415,34.65001,0,1,False
99.62417,-1.432978,54.00422,0.08707573,-0.7591972,0.103622,0.07651042,-0.7166726,0.06599298,93.6788,-2.007959,53.13718,1431,34.98001,0,1,False
102.358,-1.026206,55.59238,0.09123601,-0.8272256,0.139752,-0.008107774,-0.6916838,0.0566553,96.99495,-2.016402,53.29019,1446,35.31001,0,1,False
104.8359,-0.6926525,56.75694,-0.08884116,0.8729162,-0.171522,-0.0532397,-0.6494237,0.05465859,100.2088,-2.038429,53.42608,1461,35.64001,0,1,False
107.5057,-0.4098227,57.50409,-0.08467422,0.8990688,-0.1984741,0.02078843,-0.608775,0.03718681,103.538,-2.029741,53.54762,1476,35.97002,0,1,False
110.3404,-0.1789916,57.80601,-0.0850461,0.9061278,-0.2185537,0.08187507,-0.4829166,0.01152471,106.6952,-2.023626,53.68423,1490,36.30002,0,1,False
113.6754,0.02442551,57.71345,-0.0952783,0.8956824,-0.2325011,0.1079986,-0.4195359,-0.02420671,109.9459,-2.016349,53.82333,1504,36.63002,0,1,False
117.6522,0.172261,57.19637,-0.1166664,0.8649749,-0.2363704,0.127563,-0.4354542,-0.01754938,113.4469,-2.016054,53.96074,1519,36.96002,0,1,False
